A,አንድ
Active,ሙሉ 
Activity,እንቅስቃሴ 
Actor,ተዋናይ
Actress,ተዋናይት
Actual,እውነተኛ 
Actuality,የጊዜው ሁኔታ 
Actually,በእውነት 
Actuate,አንቀሳቀሰ
Acumen,ብልህነት
Acute,ሀይለኛ 
Adapt,አራመደ 
Adaptable,እንዳስፈላጊነቱ ሊለዋወጥ የሚችል 
Add,ጨመረ 
Addict,ሱሰኛ
Addiction,አደገኛ የሆነ ሱስ
Addition,ድምር 
Additional,ተጨማሪ
Address,አድራሻ 
Adduce,ጠቀሰ
Adequate,በቂ 
Adhere,ተጣበቀ 
Adherent,ደጋፊ
Adhesion,ማጣበቂያ
Adhesive,ማጣበቅ የሆነ ነገር
Adjacent,ቀትሎ ያለው
Adjective,ቅጽል
Adjoin,ተዋሰነ
Adjourn,ቀተረ 
Adjudicate,በፍርድ አስወሰነ
Adjunct,ተጨማሪ እቃ
Adjure,ለመነ
Adjust,አስተካከለ 
Administer,አስተዳደረ 
Administration,አስተዳደር
Administrative,ያስተዳደር
Administrator,አስተዳዳሪ
Admirable,የሚያስደንቅ 
Admiral,የባህር ሀይል ዋና አዛዥ
Admiration,አድናቆት
Admire,አደነቀ
Admirer,የሚያደንቅ
Admissible,ተፈቀደ 
Admission,መግቢያ 
Admit,አስገባ 
Admittance,የመግባት ፈቃድ
Admittedly,በእርግጥ
Admixture,መቀላቀል
Admonish,ገሰጸ 
Adobe,ከጡብ የተሰራ
Adolescent,የጉልምስናና የኮረዳነት ጊዜ
Adopt,በስራ ላይ የዋለ 
Adorable,ደስ የሚል
Adore,አፈቀረ 
Adorn,አስጌጠ 
Adroit,ዘዴኛ
Adulate,ከመጠን በላይ አሞገሰ
Adult,ዐዋቂ
Adulterate,አቀጠነ 
Adulterer,አመንዝረኛ
Adultery,ዝሙት
Advance,ተጓዘ 
Advancement,የማእረግ እድገት 
Advantage,ጥቅም 
Adventitious,ተጨማሪ
Adventure,ጀብዱ 
Adventurer,የጀብዱ ሰው 
Adventurous,ጀብዱ የበዛበት 
Adverb,ተውሳከ ግስ
Adversary,ባለጋራ 
Adverse,የሚጐዳ 
Adversity,መከራ
Advertise,አስታወቀ 
Advertisement,ማስታወቂያ 
Advice,ምክር
Advisable,የሚሻል
Advise,መከረ 
Advisor,አማካሪ
Advisory,አማካሪ
Advocate,ጠበቃ 
Adze,መጥረቢያ
Aerate,አናፈሰ
Aesthetic,ከውበት ጋር የተገናኘ -aestherics የስነ ጥበብ ጥናት
Afar,ሩቅ
Affable,ትሁት 
Affair,ጉዳይ 
Affect,አቃወሰ 
Affectation,ልምሰል ባይ ሁኔታ
Affected,የራሱ ያልሆነ
Affection,ፍቅር
Affectionate,ሰው የሚወድ 
Affiliate,ተቀላቀለ
Affiliation,ዝምድና
Affinity,መቀራረብ 
Affirm,አረጋገጠ 
Affirmative,የአዎንታ
Affix,አኖረ 
Afflict,በጣም ጎዳ 
Affliction,የመከራ ጊዜ 
Affluence,ሀብት 
Affluent,ባለጸጋ 
Afford,ሰጠ 
Afforest,ደን አለበሰ
Affranchise,አርነት አወጣ
Affront,ውርደት
Afield,በየሜዳ
Afire,በእሳት ተያያዘ
Aflame,በእሳት ተቀጣጠለ
Afloat,ተንሳፈፈ 
Afoot,በእግር
Afraid,ፈራ 
After,ከ...በኋላ 
Afterbirth,የእንግዴ ልጅ
Afternoon,ከሰዓት በኋላ
Afterthought,መዘግየት
Afterwards,በኋላ
Again,እንደገና 
Against,ከ...አንጻር 
Age,እድሜ 
Aged,የበሰለ
Agency,ድርጅት 
Agenda,አጀንዳ
Agent,ወኪል 
Agglomerate,አደባለቀ
Agglutinate,ተገጣጠመ
Aggrandize,አሳደገ
Aggravate,አበሳጨ 
Aggregate,ጠቅላላ ድምር
Aggression,የጠብ አጫሪነት 
Aggressive,ጠብ ጫሪ 
Aggressor,ጠብ አጫሪ 
Aggrieved,ቅር ተሰኘ
Agile,ቀልጣፋ 
Agitate,አነሣሣ 
Agitation,መነሳሳት 
Ago,ከ...በፊት 
Agonize,አስጨነቀ
Agony,ጣረ ሞት 
Agrarian,የእርሻ
Agree,ተስማማ 
Agreeable,አስደሳች 
Agreement,ስምምነት 
Agriculture,ግብርና 
Aground,መሬት ያዘ
Ahead,ወደፊት 
Aid,እርዳታ 
Ail,ነካ
Ailing,በሽተኛ
Ailment,ሕመም
Aim,አነጣጠረ 
Aimless,ዋዛ ፈዛዛ
Air,አየር 
Airborne,አየር ወለድ
Aircraft,አውሮፕላን
Airfield,አውሮፕላን ጣቢያ
Airing,አናፈሰ 
Airmail,የአየር መልእክት
Airplane,አውሮፕላን
Airport,የአውሮፕላን ማረፊያ
Airsick,አጥወለወለ（ው）
Airtight,አየር አይዘልቀውም
Airy,ነፋስ የሚገባው 
Aisle,መተላለፊያ
Ajar,ገርበብ አለ
Alacrity,ነቃ ብሎ 
Alarm,ድንጋጤ 
Alarming,አሳሳቢ
Alas,ወይኔ
Albeit,ምንም እንኳን
Album,የፎቶግራፍ ማኖሪያ
Alcohol,አልኮል 
Alcoholic,አልኮልነት ያለው
Alcove,ጓዳ
Ale,የቢራ አይነት
Alert,ንቁ 
Algebra,አልጄብራ
Alias,የሃሰት ስም
Alibi,ወንጀል ተፈጸመበት በተባለው ስፍራ አልነበርኩም ማለት
Alien,ባዕድ
Alienate,አለያየ 
Alight,አረፈ 
Align,አሰለፈ 
Alike,እኩል 
Aliment,ምግብ
Alimentary,የአንጀት
Alimentation,አመጋገብ
Alimony,አበል
Alive,በህይወት ያለ 
All,ሁሉ 
Allegation,ቃል ነገር
Allege,አለ
Allegiance,ታማኝነት 
Allegory,ምሳሌ
Allergy,የሰውነት አንዳንድምግቦችንና መድኃኒቶችን አለመቀበል
Alleviate,አስታገሰ 
Alley,ጠባብ መንገድ
Alliance,ኅብረት（ስምምነት）
Allied,የጦር ጓደኛ 
Allocate,ደለደለ
Allot,መደበ 
Allow,ፈቀደ 
Allowance,አበል 
Alloy,ቅይጥ
Allude,አነሳ
Allure,ስሜት ሳበ
Allusion,የሚነካ ነገር
Ally,ተባበረ
Almighty,ኀይል
Almond,ለውዝ
Almost,ል +imperfect+ ነበር 
Alms,ምጽዋት
Aloft,ሰማይ ላይ ነበረ
Alone,ብቻ
Along,በ...ዳር 
Alongside,ከ...ከጐን（ጐን） 
Aloof,ዝም ብሎ በገለልተኛነት ቆየ 
Aloud,ድምጹን ከፍ አድርጎ 
Alphabet,ፊደል
Alphabetical,የፊደል
Alphabetize,በፊደል ተራ አደረገ
Already,አስቀድሞ 
Also,———ም
Altar,መሠዊያ 
Alter,ለወጠ
Altercate,ተጨቃጨቀ
Alternate,አፈራረቀ 
Alternation,ማፈራረቅ
Alternative,ሌላ አማራጭ
Although,ቢሆንም （ቢ +imperfect+ ም እንኳ
Altitude,ከፍታ （ተራራማነት）
Altruism,ለሌሎች ጥቅም ማሰብ
Alumnus,የቀድሞ ምሩቅ
Always,ሁልጊዜ（ሁሌ） 
Amalgamate,ተቀላቀለ
Amass,አከማቸ
Amateur,አማተር
Amaze,አስደነቀ
Ambassador,አምባሳደር
Ambassadress,ሴት አምባሳደር
Amber,ብሩህ ቢጫ
Ambiguity,አሻሚነት
Ambiguous,አሻሚ 
Ambition,ምኞት 
Ambitious,ጉጉ 
Ambivalence,ማመንታት
Amble,ተንጐራደደ 
Ambo,አትሮኖስ
Ambulance,አምቡላንስ
Ambush,አድፍጦ ወጋ
Ameliorate,አሻሻለ
Amen,አሜን
Amenable,ተጠያቂ ሆነ
Amend,አሻሻለ
Amendment,የማሻሻያ ሃሳብ
Amends,ካሳ
Amenity,ተስማሚነት
Amiable,ተወዳጅ
Amid,በ...መሀል
Amiss,ጉድለት 
Ammunition,ጥይት 
Amnesia,በአንጐል መጐዳት ምክንያት የሚመጣ የማስታወስን ኀይል የሚያሳጣ ህመም
Amnesty,ምሕረት
Amoeba,አሜባ
Among,በ...መሀከል 
Amoral,ግብረ ገብነት የጐደለው ሰው
Amorous,ፍቅርን የሚገልጽ
Amorphous,ቅርጸ ቢስ
Amortize,እየከፈለ ጨረሰ
Amount,መጠን 
Amphibious,በየብስም በውሀም ውስጥ የሚኖር
Ample,በቂ 
Amplifier,ድምጽ ማጒያ
Amplify,አጎላ 
Amplitude,ከፍተኛነት
Amputate,ቆረጠ
Amulet,ክታብ
Amuse,አስደሰተ 
Amusement,ጨዋታ 
Anachronism,ጊዜውን የሳተ
Analogous,ተመሳሳይነት
Analogy,ማመሳሰል
Analysis,ትንተና 
Analyst,ተንታኝ
Analyze,ተነተነ 
Anarchy,ግርግር
Anathema,ውግዘት
Anatomy,አናቶሚ 
Ancestor,ቅድመ አያት 
Ancestral,የዘር
Ancestry,ቅድመ አያቶች
Anchor,መልህቅ
Anchorite,ባህታዊ
Ancient,አሮጌ 
And,—ና 
Anew,እንደገና 
Angel,መልአክ
Angelic,መልአካዊ
Anger,አናደደ 
Angle,ማእዘን
Angry,የቁጣ 
Anguish,ጭንቀት
Angular,ማእዘናዊ
Animadvert,መንቀፍ -animadversion ነቀፌታ
Animal,እንስሳ 
Animate,ህይወታዊ
Animated,የተሟሟቀ
Animation,የጋለ ስሜት
Animosity,ጥላቻ
Ankle,ቁርጭምጭሚት
Annals,ዜና ፥ ታሪክ
Annex,ቀላቀለ
Annihilate,ድምጥማጡን አጠፋ
Anniversary,በዓል 
Annotate,ማብራሪያ ጻፈ
Announce,አስታወቀ 
Announcer,ተናጋሪ 
Annoy,አበሳጨ
Annual,ዓመታዊ 
Annuity,አበል
Annul,ሻረ
Annunciation,የምስራች
Anoint,ቀባ
Anomalous,ያልተለመደ
Anomaly,ያልተለመደ ነገር
Anonymous,ስም ያልተጻፈበት
Another,ሌላ
Answer,መልስ
Ant,ጉንዳን
Antagonism,ጥላቻ
Antagonize,የጥላቻ መንፈስ አሳደረበት
Antecedent,ከ...በፊት
Antedate,ጊዜ አስቀደመ 
Antelope,ድኵላ
Antenna,አንቴና
Anterior,ከወደፊቱ
Anthem,የህዝብ መዝሙር
Anthology,የግጥም 
Anticipate,ተስፋ አደረገ 
Anticipation,መጠባበቅ
Antidote,ማርከሻ
Antipathy,ጥላቻ
Antipodes,ተነጻጻሪ ቦታ 
Antiquated,ጊዜ ያለፈበት
Antique,የጥንት
Antiquity,የጥንት ጊዜ 
Antler,ቀንድ
Antonym,ተቃራኒ
Anus,ፍንጢጣ
Anvil,መስፍ
Anxiety,ስጋት 
Anxious,የተሸበረ
Any,ማንም 
Anybody,ሰው 
Anyhow,ሆኖም 
Anyone,ሰው
Anything,አንዳች 
Anyway,ያም ሆነ ይህ 
Anywhere,የትም
Apart,ተለያይተው 
Apartment,አፓርተማ
Apathy,ግዴለሽነት
Ape,ጦጣ
Aperture,ቀዳዳ
Apex,ከፍተኛ ደረጃ
Aphorism,እውነትን የሚገልጽ ምሳሌ
Apologize,ይቅርታ ጠየቀ
Apology,ይቅርታ
Apoplexy,የሚጥል በሽታ
Apostate,ሃይማኖት የከዳ ሰው
Apostle,ሐዋርያ
Apothecary,መድኃኒት ቀማሚ
Apotheosis,በጥንት ሮማውያን ዘንድ ንጉሥ ሲሞት እንደ አምላክ መመልከት
Appall,አስደነገጠ
Apparatus,መሳሪያ
Apparel,ልብስ
Apparent,ግልጽ
Apparition,ጣረሞት
Appeal,ይግባኝ አለ 
Appear,ብቅ አለ 
Appearance,መልክ 
Appease,አበረደ 
Appellation,አጠራር
Append,አያያዝ
Appendage,ቅጥል አካል
Appendicitis,የትርፍ አንጀት በሽታ
Appendix,ትርፍ አንጀት 
Appertain,ተመለከተ
Appetite,የምግብ ፍላጎት 
Applaud,አጨበጨበ 
Applause,ጭብጨባ
Apple,ቱፋህ 
Appliance,መሳሪያ
Applicant,አመልካች
Application,ማመልከቻ 
Applied,ተግባራዊ
Apply,ሠራ 
Appoint,ሾመ 
Appointment,ቀጠሮ 
Apportion,አከፋፈለ
Appraisal,የገመተ
Appraise,አመዛዘነ 
Appreciable,ጉልህ
Appreciate,ወደደ 
Appreciation,ምስጋና 
Apprehend,ያዘ 
Apprehension,መያዝ 
Apprehensive,ስጋ
Apprentice,ተለማማጅ
Apprise,አስጠነቀቀ
Approach,ጠየቀ 
Approbation,ድጋፍ
Appropriate,ተገቢ
Approval,ፈቃድ 
Approve,አደነቀ 
Approximate,በግምት 
Appurtenance,ተጨማሪ
Apron,ሽጉጥ
Apropos,ስለ...ነገር
Apt,ንቁ 
Aptitude,ስጦታ
Aqueduct,ውኃ ካንድ ቦታ ወደ ሌላ ቦታ የሚወሰድበት ቧንቧ ወይም ቦይ
Arable,ለእርሻ ሆነ
Arbiter,አስታራቂ
Arbitrary,የተለመደ 
Arbitrate,አስታረቀ
Arbitrator,አስታራቂ
Arc,ቅስት
Arcade,በምሰሶ የተደገፉ ተቀጣጣይ ቅስቶች
Arch,ቅስት
Archaic,የጥንት
Archangel,ሊቀ መልአክ
Archbishop,ሊቀ ጳጳስ
Archeology,አርኬዎሎጂ
Archipelago,ተጎራባች ደሴቶች
Architect,ፕላን የነደፈ 
Architecture,የህንጻ ጥበብ 
Archive,መዝገብ ቤት
Archway,የቅስት በር
Ardent,ጽኑ 
Arduous,ብርቱ 
Area,ስፋት 
Arena,ዙሪያውን የታጠረ የትግል መወዳደሪያ ቦታ
Argot,ልዩ ንግግር
Argue,ተጨቃጨቀ 
Argument,ክርክር 
Argumentative,ተጨቃጫቂ
Arid,ደረቅ 
Arise,ተነሣ 
Aristocracy,መኳንንት 
Aristocrat,ባላባት
Aristocratic,የጌትነት 
Arithmetic,ሒሳብ
Ark,መርከብ 
Arm,እጅ 
Armada,የጦር መርከብ ጓድ
Armament,የጦር መሳሪያ
Armband,ጉሜ
Armchair,ምቹ ወምበር
Armistice,የጦር ማቆም ስምምነት
Armor,በውጊያ ጊዜ ከጦርና ከጎራዴ ሰውነትን ለመከላከል የሚለበስ የብረት ልብስ
Armory,የጦር መሳሪያ ግምጃ ቤት
Army,ጦር 
Aroma,ሽታ
Around,በ...ዙሪያ 
Arouse,ቀሰቀሰ 
Arraign,ከፍርድ ቤት አቀረበ
Arrange,አዘጋጀ 
Arrangement,ማደራጀት
Array,ሰልፍ 
Arrest,ያዘ 
Arrival,መድረስ 
Arrive,ደረሰ 
Arrogant,እብሪተኛ 
Arrogate,በራሱ እጅ አደገ
Arrow,ወስፈንጥር 
Arsenal,የመሣሪያ ፋብሪካ 
Arson,የቤት ማቃጠል ወንጀል
Art,ኪነ ጥበብ 
Art.,እቃ 
Artery,ደም ቅዳ 
Artful,የማጭበርበር
Article,እቃ 
Articulate,ታጣፊ
Artifact,ሰው ሠራሽ ነገር
Artifice,ዘዴ 
Artificial,ሰው ሠራሽ 
Artillery,ከባድ መሣሪያ 
Artisan,ጥበበኛ 
Artist,አርቲስት 
Artistic,ጥበበኛነት
As,ስ +（imperfect） 
Ascend,ወጣ 
Ascendant,በማደግ ላይ ያለ
Ascension,መውጣት 
Ascent,መውጣት 
Ascertain,አረጋገጠ 
Ascetic,መናኝ
Ash,አመድ
Ashamed,አፈረ
Ashore,ወደ ዳርቻ
Ashtray,መተርኮሻ
Aside,ቀርቶ
Ask,ጠየቀ
Askance,look  በጥርጣሬ ተመለከተ）
Askew,ተጣመመ 
Asleep,ተኛ 
Aspect,ሞገስ 
Asperity,ኀይለ ቃል
Asperse,አማ
Aspersion,ሐሜት
Asphalt,አስፋልት 
Aspirant,ፈለገ 
Aspire,ተመኘ 
Ass,አህያ 
Assail,በኃይል አጠቃ 
Assailant,ደብዳቢ
Assassin,ነፍስ ገዳይ
Assassinate,ገደለ
Assault,ጥቃት 
Assemblage,መሰብሰብ
Assemble,ሰበሰበ 
Assembly,ስብሰባ 
Assent,እሺ አለ
Assert,ተከራከረ 
Assertion,የተናገረ
Assess,ገመተ 
Asset,ጸጋ 
Assiduity,ትጋት
Assiduous,ትጉ
Assign,መደበ（ተመደበ） 
Assignment,ድልድል 
Assimilate,ቀሰመ 
Assist,ረዳ
Assistant,ረዳት
Associate,አዛመደ 
Association,ማኅበር 
Assort,ለየ
Assorted,በያይነቱ
Assortment,ልዩ ልዩ
Assuage,አጽናና 
Assume,ገመተ 
Assuming,ከገመተ በኋላ
Assumption,ግምት
Assurance,እምነት 
Assure,አረጋገጠ
Asterisk,የኮከብ ምልክት
Astern,ከመርከብ በኋላ
Asthma,አስማ
Astir,ተሟሟቀ
Astonish,አስደነቀ
Astound,እጅግ አስገረመ 
Astray,ባከነ
Astride,አንፈራጦ ተቀመጠ
Astrology,አስትሮሎጂ 
Astronomy,አስትሮኖሚ
Astute,ብልጥ
Asylum,ጥገኝነት
At,በ 
Atheism,በእግዚአብሄር መኖር አለማመን
Athlete,ስፖርተኛ 
Atlas,አትላስ
Atmosphere,ህዋ 
Atmospherics,የአየር
Atom,አቶም
Atone,ንስሓ ገባ 
Atrocious,አሰቃቂ
Atrophy,መመንመን
Attach,አያያዘ 
Attachment,መፈቃቀር 
Attack,ደበደበ 
Attain,አገኘ 
Attainment,ማግኘት
Attempt,ሞከረ
Attend,ተገኘ 
Attendance,መገኘት 
Attendant,ተከታይ 
Attention,ስሜት 
Attentive,ትጉ 
Attenuate,አወከ 
Attest,መሰከረ 
Attestation,ቃል
Attic,ጣሪያው ሥር ያለው ቦታ
Attire,ልብስ
Attitude,ጠባይ 
Attorney,ጠበቃ 
Attract,ማረከ 
Attraction,የሚማርክ
Attractive,የሚያምር 
Attribute, ባህርይ 
Attrition,ማዳከም
Auction,ሐራጅ
Audacious,ደፋር
Audible,የሚሰማ
Audience,የተሰበሰበ ህዝብ 
Auditor,አድማጭ 
Auditorium,（የጉባኤ）አዳራሽ
Augment,አሳደገ 
Augur,ተስፋ አመለከተ
August,ነሐሴ
Aunt,አክስት
Aura,መንፈስ
Aureole,የብርሃን አክሊል
Auspicious,ተስፋ የሚሰጥ
Austere,ምቾት የለሽ 
Austerity,ድሎሽ የለሽ መሆን
Authentic,እውነተኛ 
Authenticate,እውነተኛነት አረጋገጠ 
Author,ደራሲ 
Authoritarian,ፈላጭ ቈራጭ
Authoritative,የሚታመን 
Authority,ሥልጣን 
Authorize,ፈቀደ 
Authorship,ደራሲ
Autobiography,የራስ የህይወት ታሪክ
Automatic,አቶማቲክ 
Autonomous,ነጻ 
Autonomy,የራስን አገዛዝ ነጻነት
Autumn,መከር
Auxiliary,ረዳት
Avail,ጠቀመ
Available,የተገኘ
Avalanche,ናዳ 
Avarice,ንፉግነት
Avenge,ተበቀለ
Avenue,ጐዳና 
Average,አማካይ 
Aversion,ጥላቻ
Avert,ዞር አደረገ
Aviation,ያየር ማመላለሻ
Avid,ጉጉ
Avoid,ሸሸ 
Avouch,አረጋገጠ
Avow,አመነ
Await,ተጠባበቀ 
Awake,ቀሰቀሰ
Awaken,ቀሰቀሰ
Award,ሸለመ 
Aware,ተገነዘበ
Awash,ውኃ አጥለቀለቀው
Away,ከዚህ ተለየ 
Awe,አክብሮታዊ ፍርሃት
Awesome,አስፈሪ
Awful,በጣም የሚያሰቅቅ 
Awfully,ክፉኛ 
Awhile,ለጥቂት ጊዜ
Awkward,ገልጃጃ 
Awl,ወስፌ
Awning,ግርዶሽ
Awry,አንጋደደ
Axe,መጥረቢያ
Axiom,እሙን 
Azure,የጠራ
Babble,ተኮላተፈ
Baboon,ዝንጀሮ
Baby,ሕጻን 
Babyish,የህጻንነት
Bachelor,ወንደ ላጤ
Back,ጀርባ 
Backache,የጀርባ ህመም
Backbite,አማ
Backbone,አከርካሪ
Background,መደብ 
Backhanded,የለበጣ
Backing,ድጋፍ
Backward,ወደ ኋላ
Backwards,ወደ ኋላ 
Backyard,ጓሮ
Bacteria,ረቂቃን ነፍሳት
Bad,ክፉ 
Badge,አርማ
Badger,አበሳጨ
Badly,ክፉኛ 
Baffle,ግራ አገባ
Bag,ቦርሳ 
Baggage,ጓዝ 
Bail,ዋስትና 
Bait,መሳቢያ ምግብ 
Bake,ጋገረ 
Baker,ዳቦ ጋጋሪ
Bakery,ዳቦ መጋገሪያ ቤት
Balance,ሚዛን 
Balcony,ሰገነት 
Bald,መላጣ 
Bale,ጥቅል
Baleful,ክፉ
Balk,አጉል አደረገ（በት） 
Ball,ኳስ 
Ballad,አወዳሽ ግጥም
Ballast,ምንጣፍ
Balloon,ፊኛ
Ballot,የምርጫ ወረቀት ድምጽ
Balm,መድኃኒት የሆነ ቅባት 
Balmy,ለስላሳ
Bamboo,ሸምበቆ
Ban,ወደ አገር ውስጥ እንዳይገባ ከለከለ 
Banal,ተራ
Banana,ሙዝ
Band,ጥምጥም 
Bandage,ፋሻ
Bandit,ሽፍታ
Bane,ጥፋት አመጣ
Bang,ድምጽ
Banish,አጋዘ(ተጋዘ) 
Bank,ባንክ 
Banker,ባለ ባንክ
Banknote,ገንዘብ 
Bankrupt,የከሰረ
Banner,የጽሑፍ ሰሌዳ 
Banquet,የእራት ግብዣ
Banter,ፌዝ
Baptism,ክርስትና
Baptize,አጠመቀ 
Bar,የብር ዘንግ 
Barbarous,የጭቆና
Barber,ጸጉር አስተካካይ
Bare,ባዶ 
Bareback,ሌጣ(ውን)
Barefoot,ባዶ እግር
Bargain,ጥሩ ግዢ 
Barge,የጭነት መርከብ
Bark,ቅርፊት 
Barkeeper,የቡና ቤት ባለቤት
Barley,ገብስ
Barn,የእህልና የከብት ማስቀመጫ ቦታ
Barrack,ሰፈር
Barrage,ግድብ 
Barrel,በርሚል 
Barren,መካን 
Barricade,መከታ 
Barrier,ማገጃ 
Barring,ካልደረሰ በስተቀር
Barter,ለወጠ
Base,ጸያፍ 
Baseless,መሰረተ ቢስ
Basement,ምድር ቤት
Bashful,ዓይናፋር
Basic,መሠረታዊ 
Basin,ጐድጓዳ ሳሕን 
Basis,መሠረት 
Bask,ሞቀ
Basket,ቅርጫት
Basketball,የቅርጫት ኳስ
Bassinet,የሕጻን ቅርጫት
Bastard,ዲቃላ
Bat,መምቻ 
Batch,ክምችት 
Bath,የገላ መታጠቢያ 
Bathe,አጠበ
Bathrobe,የመታጠቢያ ልብስ
Bathroom,የመታጠቢያ ቤት
Battalion,ሻለቃ
Batter,ገደፈ 
Battery,ባትሪ 
Battlefield,የጦር ሜዳ 
Battleship,የጦር መርከብ
Bawl,ስቅቅ ብሎ አለቀሰ
Bay,የባህር ሰላጤ
Bayonet,ሳንጃ
Bazaar,መደብር
Beach,የባሕር ዳርቻ
Beacon,የወደብ መብራት
Bead,ዶቃ 
Beak,አፍ
Beam,አውታር 
Bean,ባቄላ
Bear,ድብ
Beard,ጢም
Bearing,አቋም 
Bearish,የባለጌ
Beast,አውሬ 
Beastly,የአውሬነት
Beat,ደበደበ 
Beautiful,ቆንጆ 
Beautify,አስጌጠ
Beauty,ቁንጅና 
Because,ስለ + (perfect) 
Beckon,ጠቀሰ
Become,ሆነ 
Bed,አልጋ 
Bedazzle,ዓይኑን አጭበረበረው 
Bedbug,ትዃን
Bedlam,የግርግር ቦታ
Bedridden,ያልጋ ቁራኛ
Bedroom,መኝታ ቤት
Bedside,በ...አልጋ አጠገብ
Bedspread,የአልጋ ልብስ
Bedtime,ሊተኛ ሲል
Bee,ንብ
Beef,የበሬ ስጋ
Beehive,ቀፎ
Beer,ጠላ 
Beeswax,ሰም
Beetle,ጥንዚዛ
Befall,አጋጠመ
Befit,ተስማማ
